rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,bin_step,status,active_bin_array,active_bin_array_index,active_bin_index,wsol_side,active_bin_amount_x,active_bin_amount_y,active_bin_liquidity_supply,active_bin_open_order_amount,active_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,token_volume_24h_usd
1,DyGzi5rwC7M1YNwCqmQ1Z6C4rBJLnGczLY1TpQTeFVHZ,So11111111111111111111111111111111111111112,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,GRASS,-143,200,0,CfVakBWY7knSFVcxyY36xx6cMCsNYzyRbF2JDWN5HxNk,-3,67,x,0,0,0,0,true,0.022647337000,0.025229524000,0.022647337000,4.084802,0.058908157330,240.085750654291,0.022128,90.182832,-9998,225567.506812
2,F7hqCf4e7CWKT3WteUGQ6e3gfSqQT8vR1px1qbADrh8E,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,So11111111111111111111111111111111111111112,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,memecoin,-398,50,0,9cHV9E2GsjydF12n1K1kGoXpvCVgBFHBQMWmC4LQjpjY,-6,22,y,0,0,0,0,true,55.985945000000,0.006994153000,0.006994153000,1.261505,0.000137374910,0.000001264758,0.830279,90.182832,-9908,144040.668134
3,8LHhMPCjXSj96SV61F4whRB7kNrLBRQyuyWCkiHt19mN,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,So11111111111111111111111111111111111111112,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,BORG,-196,100,0,2JSVhiUFhfYRkw9kDrc1RNo24Xj9GbV97NmmsP3Yni2n,-3,14,y,0,0,0,0,true,6.273227949000,0.013871172000,0.013871172000,2.501883,0.142236395683,0.002304651248,1.461229,90.182832,-9838,324606.369803
4,38QUGqkhC3zzEmETBrqbuiyAizVyYJSs5HbzDekJnCDm,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,-87,400,0,EZNaCe5gvtTg6rMATWss7C6yNnFdDeZCkJ8msXJsYNDY,-2,53,x,0,0,0,0,true,0.018053397000,0.593247000000,0.018053397000,3.256213,32.968522237372,777.887555297540,3.822139,90.182832,-9576,140302.512301
5,G9BkRyQkF2e3TpUVgUihYHthCBmmt3D3ChvwmvSkfcid,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,So11111111111111111111111111111111111111112,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,ZEREBRO,61,80,0,DwnFfsjoDDGJ6vbN9rVsfHesyXnuFamvVArPGQwuDCqH,0,61,y,0,0,0,0,true,8.604375000000,0.018759216000,0.018759216000,3.383518,0.001625894862,0.000079284499,4.397640,90.182832,-9512,281439.018555
6,3vpjF64u4gCdvRsCyAoeQ2M2dXnnfKELCUNjCqr3y2JL,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,So11111111111111111111111111111111111111112,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,GRIFFAIN,88,80,0,325NViVrsb7fe8sGyynoYSLMomFBHrMnZCucmTwXhFH2,1,18,y,0,0,0,0,true,14.565852000000,0.023688878000,0.023688878000,4.272660,0.002016168502,0.000103352546,4.622940,90.182832,-9487,163645.748558
7,2dbPZ9KyKesz3Z6SR5w7UNeh4TGNA555QE6NLm6U9ewm,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,So11111111111111111111111111111111111111112,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,ZEREBRO,87,50,0,A9Np23WPqPrHgXLjaXfEjbquJgXkeBCvQscLbcq1FrCD,1,17,y,0,0,0,0,true,14.737994000000,0.036423662000,0.036423662000,6.569578,0.001543289398,0.000079284499,4.633027,90.182832,-9486,281439.018555
8,Da2yRgYC8W6aA98dFqEdpK2rggvybNKBSrFoYiabjche,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,So11111111111111111111111111111111111111112,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,ZEREBRO,8,400,0,99tLkV8jtGLKn9VkX5wzYb5f3HY8X2m7kEf1SYcXqKpG,0,8,y,0,0,0,0,true,14.836337000000,0.036915952000,0.036915952000,6.658370,0.001368569050,0.000079284499,5.224509,90.182832,-9421,281439.018555
9,7RtzdFm34zLWLVqu8zzUFtbdh88e1EUE6Gw6x1hgEzR4,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,361,80,0,7MjBVFQhtuQ9rYPioVh41xemjkdLsnvdkEF6Exdy3dqf,5,11,y,0,0,0,0,true,1.328719000000,0.054046747000,0.054046747000,9.748177,0.017752196298,0.001285532842,6.530628,90.182832,-9276,140302.512301
10,GhogdTf82z175rVHQCrLpd51LNPWbV972hwiqnmDgcto,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,So11111111111111111111111111111111111111112,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,GRIFFAIN,34,80,0,CqcU2P19Sa6ZNvc45QcgwaNzpFP2mezRTMt7YPcREP7q,0,34,y,0,0,0,0,true,72.627989000000,0.138240185000,0.138240185000,24.933783,0.001311167246,0.000103352546,7.108647,90.182832,-9212,163645.748558
